,Rank,track_popularity,mood_danceability,mood_valence,mood_energy,mood_tempo
0,1,77,0.635,0.424,0.841,109.021
1,2,81,0.749,0.641,0.925,86.989
2,3,80,0.696,0.714,0.921,119.001
3,4,77,0.791,0.714,0.59,119.951
4,5,80,0.755,0.714,0.837,120.028
5,6,75,0.546,0.375,0.916,129.983
6,7,79,0.751,0.816,0.783,119.975
7,8,72,0.789,0.611,0.716,125.906
8,9,72,0.791,0.425,0.754,125.014
9,10,74,0.72,0.828,0.607,121.223
10,11,75,0.768,0.625,0.82,129.965
11,12,3,0.657,0.683,0.695,65.997
12,13,78,0.663,0.654,0.861,119.963
13,14,76,0.498,0.0784,0.59,145.867
14,15,75,0.706,0.195,0.751,91.031
15,16,74,0.66,0.377,0.867,93.033
16,17,81,0.728,0.535,0.859,65.043
17,18,67,0.703,0.726,0.81,102.978
18,19,68,0.719,0.591,0.798,120.011
19,20,75,0.616,0.473,0.869,127.966
20,21,66,0.442,0.578,0.83,89.338
21,22,74,0.607,0.568,0.934,122.01
22,23,63,0.621,0.672,0.78,121.038
23,24,71,0.633,0.659,0.673,86.776
24,25,74,0.688,0.743,0.853,103.993
25,26,66,0.692,0.583,0.786,100.025
26,27,70,0.615,0.711,0.711,144.036
27,28,73,0.435,0.778,0.837,124.913
28,29,69,0.826,0.756,0.612,120.057
29,30,81,0.673,0.795,0.886,97.012
30,31,78,0.512,0.472,0.662,180.114
31,32,72,0.781,0.326,0.745,129.998
32,33,72,0.531,0.103,0.752,89.917
33,34,65,0.762,0.851,0.748,110.009
34,35,57,0.696,0.772,0.875,127.39
35,36,67,0.567,0.751,0.707,171.917
36,37,61,0.639,0.596,0.862,117.011
37,38,68,0.652,0.394,0.605,126.091
38,39,2,0.855,0.803,0.668,125.846
39,40,69,0.824,0.716,0.836,122.014
40,41,65,0.529,0.286,0.67,141.893
41,42,64,0.482,0.739,0.829,147.99
42,43,18,0.689,0.783,0.615,134.036
43,44,74,0.563,0.812,0.75,173.906
44,45,52,0.458,0.553,0.905,176.667
45,46,34,0.599,0.539,0.624,90.034
46,47,63,0.451,0.295,0.948,176.985
47,48,65,0.549,0.787,0.932,82.439
48,49,63,0.648,0.73,0.942,129.007
49,50,0,0.845,0.329,0.601,74.008
50,51,0,0.622,0.773,0.942,130.003
51,52,61,0.597,0.412,0.517,92.035
52,53,68,0.729,0.74,0.675,125.036
53,54,57,0.76,0.361,0.595,131.497
54,55,70,0.733,0.557,0.664,148.005
55,56,78,0.855,0.668,0.954,114.635
56,57,64,0.606,0.362,0.497,130.739
57,58,62,0.682,0.827,0.889,138.021
58,59,66,0.388,0.381,0.633,173.947
59,60,55,0.625,0.738,0.613,96.033
60,61,62,0.61,0.657,0.836,126.056
61,62,68,0.692,0.217,0.736,73.987
62,63,57,0.625,0.717,0.699,75.974
63,64,67,0.702,0.836,0.795,83.961
64,65,69,0.531,0.272,0.574,115.68
65,66,0,0.515,0.52,0.837,126.026
66,67,60,0.473,0.271,0.604,123.848
67,68,31,0.605,0.263,0.795,139.896
68,69,67,0.623,0.36,0.793,98.998
69,70,56,0.438,0.457,0.672,185.934
70,71,50,0.491,0.344,0.703,157.988
71,72,0,0.63,0.743,0.91,116.98
72,73,50,0.544,0.277,0.781,150.1
73,74,57,0.656,0.534,0.931,91.881
74,75,71,0.484,0.142,0.368,92.923
75,76,72,0.581,0.316,0.717,107.884
76,77,65,0.846,0.512,0.438,85.013
77,78,54,0.724,0.81,0.87,93.01
78,79,46,0.443,0.447,0.683,81.986
79,80,65,0.637,0.103,0.69,140.329
80,81,51,0.589,0.94,0.893,92.011
81,82,60,0.752,0.519,0.836,120.003
82,83,62,0.681,0.731,0.593,115.058
83,84,59,0.395,0.567,0.876,124.638
84,85,57,0.325,0.433,0.848,100.093
85,86,0,0.687,0.261,0.865,117.015
86,87,53,0.693,0.532,0.891,91.1
87,88,69,0.816,0.436,0.813,127.979
88,89,60,0.676,0.81,0.762,119.003
89,90,60,0.59,0.352,0.698,95.975
90,91,0,0.55,0.841,0.753,139.048
91,92,54,0.736,0.658,0.929,125.03
92,93,68,0.624,0.757,0.723,84.789
93,94,57,0.514,0.138,0.83,100.631
94,95,62,0.615,0.45,0.913,129.944
95,96,54,0.504,0.596,0.814,149.967
96,97,68,0.376,0.463,0.841,76.052
97,98,41,0.817,0.599,0.939,128.0
98,99,57,0.708,0.494,0.771,128.013
99,100,68,0.47,0.557,0.904,155.788
100,1,2,0.73,0.507,0.77,104.948
101,2,76,0.722,0.624,0.761,128.044
102,3,72,0.751,0.352,0.736,130.014
103,4,72,0.638,0.648,0.832,124.071
104,5,77,0.704,0.245,0.558,110.444
105,6,81,0.646,0.796,0.795,89.99
106,7,79,0.73,0.575,0.777,130.0
107,8,79,0.858,0.922,0.678,117.009
108,9,74,0.649,0.765,0.815,126.03
109,10,77,0.722,0.452,0.851,126.885
110,11,1,0.72,0.669,0.861,126.991
111,12,81,0.671,0.53,0.939,129.024
112,13,75,0.735,0.6,0.766,127.985
113,14,74,0.578,0.877,0.926,149.976
114,15,71,0.675,0.933,0.602,127.938
115,16,75,0.621,0.452,0.82,144.905
116,17,75,0.682,0.744,0.927,101.019
117,18,70,0.668,0.748,0.857,131.959
118,19,72,0.767,0.833,0.682,127.975
119,20,73,0.636,0.668,0.831,175.015
120,21,69,0.608,0.402,0.614,127.884
121,22,75,0.659,0.262,0.628,94.05
122,23,75,0.7,0.624,0.709,122.019
123,24,70,0.668,0.345,0.718,91.993
124,25,66,0.692,0.583,0.786,100.025
125,26,72,0.666,0.552,0.876,129.884
126,27,68,0.545,0.297,0.649,99.099
127,28,0,0.726,0.797,0.931,126.976
128,29,72,0.587,0.494,0.828,123.907
129,30,71,0.736,0.653,0.817,119.95
130,31,2,0.603,0.445,0.67,107.995
131,32,82,0.449,0.212,0.585,139.631
132,33,65,0.62,0.76,0.869,151.684
133,34,49,0.652,0.651,0.749,94.103
134,35,61,0.664,0.357,0.845,96.005
135,36,73,0.686,0.814,0.783,99.978
136,37,68,0.705,0.7,0.882,130.0
137,38,60,0.563,0.45,0.671,91.964
138,39,66,0.583,0.357,0.768,127.952
139,40,75,0.794,0.955,0.711,174.915
140,41,62,0.66,0.674,0.797,110.955
141,42,66,0.551,0.794,0.893,125.083
142,43,69,0.753,0.812,0.729,120.013
143,44,72,0.634,0.645,0.69,94.988
144,45,4,0.554,0.288,0.321,135.047
145,46,68,0.676,0.144,0.695,90.268
146,47,71,0.592,0.565,0.637,159.701
147,48,66,0.696,0.787,0.546,130.002
148,49,70,0.421,0.161,0.407,139.028
149,50,75,0.531,0.221,0.803,142.113
150,51,61,0.672,0.746,0.907,128.027
151,52,67,0.666,0.9,0.87,160.014
152,53,65,0.693,0.45,0.705,131.951
153,54,64,0.606,0.362,0.497,130.739
154,55,62,0.648,0.321,0.89,125.953
155,56,71,0.595,0.762,0.912,128.024
156,57,79,0.56,0.371,0.936,112.96
157,58,62,0.671,0.637,0.808,121.956
158,59,60,0.843,0.876,0.881,110.621
159,60,77,0.684,0.498,0.607,81.001
160,61,74,0.642,0.407,0.289,84.996
161,62,57,0.663,0.375,0.843,140.036
162,63,67,0.707,0.795,0.861,130.021
163,64,75,0.76,0.361,0.595,131.497
164,65,71,0.349,0.0886,0.348,74.541
165,66,70,0.591,0.65,0.889,143.067
166,67,65,0.507,0.4,0.665,126.879
167,68,61,0.54,0.258,0.856,153.071
168,69,82,0.733,0.965,0.71,127.975
169,70,69,0.392,0.232,0.839,168.001
170,71,53,0.415,0.536,0.775,127.898
171,72,63,0.593,0.332,0.639,142.881
172,73,0,0.644,0.272,0.661,153.992
173,74,62,0.779,0.759,0.963,127.941
174,75,48,0.687,0.539,0.939,104.029
175,76,42,0.578,0.188,0.857,126.979
176,77,69,0.425,0.333,0.732,117.98
177,78,38,0.656,0.445,0.752,100.963
178,79,55,0.31,0.493,0.926,139.85
179,80,48,0.415,0.52,0.934,190.151
180,81,74,0.636,0.425,0.566,151.894
181,82,71,0.7,0.594,0.598,160.041
182,83,59,0.753,0.794,0.88,115.057
183,84,51,0.786,0.285,0.709,122.019
184,85,71,0.767,0.538,0.677,146.155
185,86,64,0.537,0.161,0.611,105.955
186,87,65,0.799,0.586,0.783,127.041
187,88,62,0.527,0.221,0.804,107.486
188,89,75,0.684,0.538,0.834,164.02
189,90,68,0.813,0.731,0.732,130.02
190,91,70,0.379,0.169,0.29,166.467
191,92,76,0.507,0.272,0.729,105.013
192,93,70,0.594,0.397,0.946,155.826
193,94,60,0.597,0.128,0.115,111.202
194,95,71,0.692,0.927,0.809,104.023
195,96,64,0.744,0.266,0.672,140.889
196,97,62,0.523,0.602,0.805,125.358
197,98,50,0.481,0.723,0.849,205.57
198,99,65,0.446,0.88,0.9,187.961
199,100,61,0.636,0.836,0.901,162.994
200,1,75,0.735,0.6,0.766,127.985
201,2,78,0.783,0.66,0.58,120.021
202,3,75,0.378,0.735,0.638,184.086
203,4,82,0.743,0.545,0.752,110.015
204,5,72,0.687,0.864,0.792,133.962
205,6,82,0.726,0.888,0.787,124.99
206,7,85,0.726,0.867,0.698,143.994
207,8,0,0.762,0.965,0.863,106.008
208,9,75,0.747,0.751,0.716,125.008
209,10,77,0.56,0.682,0.872,126.05
210,11,71,0.651,0.569,0.695,123.008
211,12,59,0.622,0.679,0.469,77.019
212,13,77,0.711,0.801,0.7,128.001
213,14,0,0.658,0.936,0.837,126.015
214,15,73,0.678,0.769,0.918,130.028
215,16,79,0.707,0.919,0.924,127.937
216,17,63,0.717,0.331,0.55,96.979
217,18,74,0.628,0.75,0.676,85.984
218,19,77,0.66,0.427,0.689,127.98
219,20,74,0.562,0.684,0.939,116.044
220,21,73,0.576,0.476,0.835,150.017
221,22,79,0.471,0.725,0.924,154.961
222,23,66,0.696,0.573,0.893,97.954
223,24,74,0.758,0.781,0.557,126.986
224,25,82,0.449,0.212,0.585,139.631
225,26,76,0.608,0.437,0.86,127.075
226,27,73,0.716,0.618,0.821,92.997
227,28,70,0.719,0.444,0.847,127.963
228,29,74,0.67,0.648,0.855,120.05
229,30,76,0.765,0.721,0.837,122.028
230,31,76,0.674,0.552,0.628,103.998
231,32,76,0.482,0.144,0.706,92.513
232,33,50,0.69,0.849,0.897,140.05
233,34,0,0.738,0.538,0.875,114.962
234,35,67,0.571,0.613,0.873,139.691
235,36,79,0.604,0.301,0.787,126.062
236,37,68,0.715,0.879,0.791,116.043
237,38,74,0.564,0.393,0.71,91.972
238,39,76,0.612,0.438,0.84,129.042
239,40,78,0.421,0.629,0.873,84.786
240,41,77,0.747,0.739,0.937,103.976
241,42,64,0.765,0.886,0.765,120.001
242,43,69,0.658,0.248,0.677,124.91
243,44,56,0.863,0.674,0.527,129.054
244,45,68,0.637,0.68,0.732,128.108
245,46,63,0.728,0.591,0.858,125.055
246,47,0,0.612,0.574,0.748,120.052
247,48,1,0.707,0.556,0.222,110.095
248,49,68,0.664,0.501,0.642,118.002
249,50,51,0.71,0.86,0.901,125.953
250,51,74,0.503,0.521,0.727,121.985
251,52,70,0.718,0.622,0.776,120.015
252,53,75,0.629,0.299,0.515,121.845
253,54,63,0.913,0.497,0.603,123.061
254,55,65,0.514,0.575,0.683,159.814
255,56,70,0.421,0.161,0.407,139.028
256,57,74,0.631,0.755,0.924,100.045
257,58,66,0.597,0.729,0.919,113.991
258,59,75,0.376,0.302,0.695,169.533
259,60,77,0.715,0.531,0.655,95.078
260,61,0,0.558,0.286,0.781,126.025
261,62,67,0.63,0.364,0.894,142.051
262,63,70,0.672,0.392,0.738,107.938
263,64,65,0.704,0.412,0.793,127.96
264,65,66,0.616,0.569,0.862,127.992
265,66,47,0.738,0.689,0.922,116.024
266,67,68,0.591,0.736,0.935,140.043
267,68,70,0.656,0.86,0.884,105.009
268,69,75,0.706,0.684,0.89,128.011
269,70,63,0.594,0.643,0.841,129.925
270,71,0,0.582,0.0694,0.894,125.946
271,72,61,0.716,0.646,0.838,130.034
272,73,0,0.61,0.508,0.863,83.993
273,74,0,0.797,0.716,0.867,127.974
274,75,74,0.682,0.421,0.471,79.907
275,76,77,0.584,0.464,0.889,126.04
276,77,67,0.578,0.588,0.946,126.092
277,78,74,0.346,0.0789,0.552,75.881
278,79,62,0.682,0.78,0.795,120.008
279,80,62,0.602,0.206,0.691,127.967
280,81,62,0.535,0.282,0.796,128.954
281,82,70,0.483,0.139,0.303,133.406
282,83,65,0.71,0.875,0.882,128.016
283,84,66,0.42,0.237,0.69,85.014
284,85,68,0.561,0.238,0.522,83.962
285,86,57,0.606,0.322,0.826,121.04
286,87,64,0.66,0.591,0.9,85.51
287,88,57,0.524,0.476,0.972,175.017
288,89,72,0.727,0.749,0.937,132.067
289,90,60,0.664,0.35,0.799,94.991
290,91,0,0.676,0.85,0.935,96.055
291,92,63,0.531,0.392,0.843,136.991
292,93,45,0.603,0.358,0.831,72.022
293,94,56,0.39,0.179,0.255,122.056
294,95,67,0.707,0.795,0.861,130.021
295,96,0,0.37,0.323,0.823,128.008
296,97,66,0.492,0.393,0.857,129.973
297,98,65,0.63,0.343,0.44,98.082
298,99,63,0.472,0.34,0.844,140.034
299,100,55,0.608,0.476,0.863,150.029
300,1,77,0.674,0.337,0.428,84.878
301,2,55,0.861,0.881,0.504,120.0
302,3,76,0.448,0.236,0.784,136.245
303,4,6,0.532,0.643,0.783,124.08
304,5,85,0.726,0.867,0.698,143.994
305,6,1,0.781,0.662,0.526,94.992
306,7,83,0.794,0.862,0.811,116.047
307,8,72,0.602,0.526,0.843,128.003
308,9,79,0.504,0.502,0.785,173.968
309,10,76,0.652,0.486,0.877,118.491
310,11,79,0.602,0.765,0.923,136.01
311,12,77,0.673,0.542,0.758,135.956
312,13,76,0.622,0.679,0.469,77.019
313,14,89,0.612,0.398,0.807,124.053
314,15,71,0.457,0.578,0.823,192.205
315,16,77,0.574,0.512,0.512,76.899
316,17,0,0.555,0.369,0.729,129.003
317,18,0,0.523,0.193,0.78,128.006
318,19,68,0.661,0.668,0.729,103.987
319,20,72,0.715,0.748,0.872,93.043
320,21,74,0.679,0.571,0.715,127.435
321,22,0,0.652,0.836,0.783,117.952
322,23,0,0.691,0.427,0.582,100.05
323,24,84,0.691,0.8,0.631,92.004
324,25,77,0.613,0.484,0.622,80.003
325,26,81,0.641,0.847,0.922,146.078
326,27,50,0.561,0.517,0.836,127.923
327,28,65,0.645,0.862,0.878,82.324
328,29,78,0.874,0.937,0.692,116.017
329,30,75,0.781,0.624,0.853,110.049
330,31,0,0.483,0.716,0.871,164.986
331,32,78,0.772,0.501,0.685,130.033
332,33,58,0.754,0.254,0.677,124.988
333,34,72,0.554,0.455,0.772,179.984
334,35,68,0.711,0.824,0.906,125.916
335,36,66,0.624,0.436,0.458,80.016
336,37,83,0.612,0.387,0.28,72.795
337,38,88,0.445,0.131,0.537,122.769
338,39,70,0.559,0.329,0.777,87.016
339,40,68,0.797,0.402,0.608,127.999
340,41,72,0.61,0.673,0.893,104.031
341,42,66,0.656,0.369,0.674,120.001
342,43,80,0.505,0.428,0.71,89.938
343,44,79,0.457,0.417,0.757,102.961
344,45,69,0.546,0.573,0.787,79.979
345,46,72,0.572,0.11,0.81,126.052
346,47,76,0.674,0.552,0.628,103.998
347,48,77,0.53,0.349,0.422,119.964
348,49,60,0.69,0.8,0.636,96.0
349,50,75,0.621,0.125,0.31,111.893
350,51,65,0.489,0.409,0.867,162.131
351,52,68,0.691,0.8,0.921,130.072
352,53,61,0.704,0.689,0.68,123.973
353,54,70,0.695,0.58,0.869,124.989
354,55,56,0.76,0.759,0.652,100.315
355,56,73,0.495,0.213,0.894,126.03
356,57,67,0.509,0.638,0.79,127.946
357,58,60,0.693,0.763,0.822,126.035
358,59,79,0.778,0.441,0.547,95.002
359,60,72,0.773,0.289,0.414,99.993
360,61,73,0.509,0.244,0.538,75.089
361,62,62,0.676,0.156,0.534,145.082
362,63,64,0.614,0.607,0.938,100.058
363,64,51,0.423,0.161,0.407,139.048
364,65,67,0.669,0.496,0.634,124.906
365,66,70,0.573,0.582,0.929,127.934
366,67,0,0.681,0.661,0.463,82.92
367,68,74,0.682,0.421,0.471,79.907
368,69,83,0.548,0.405,0.532,85.03
369,70,0,0.209,0.162,0.412,86.26
370,71,0,0.63,0.85,0.816,128.012
371,72,65,0.532,0.78,0.795,143.837
372,73,59,0.439,0.253,0.489,143.808
373,74,71,0.558,0.567,0.924,151.99
374,75,48,0.474,0.224,0.707,83.235
375,76,64,0.722,0.952,0.958,127.008
376,77,54,0.665,0.902,0.844,119.978
377,78,56,0.726,0.952,0.795,115.995
378,79,65,0.725,0.748,0.874,127.985
379,80,59,0.512,0.34,0.828,124.021
380,81,57,0.457,0.878,0.948,148.0
381,82,0,0.733,0.253,0.818,116.019
382,83,0,0.659,0.609,0.735,104.038
383,84,66,0.551,0.145,0.833,129.885
384,85,67,0.485,0.433,0.724,128.045
385,86,67,0.795,0.357,0.596,101.985
386,87,0,0.667,0.465,0.61,99.991
387,88,57,0.606,0.322,0.826,121.04
388,89,61,0.665,0.53,0.886,128.062
389,90,65,0.544,0.281,0.728,174.983
390,91,27,0.681,0.469,0.835,124.047
391,92,53,0.486,0.393,0.769,131.286
392,93,0,0.575,0.449,0.821,118.021
393,94,0,0.801,0.722,0.985,127.99
394,95,61,0.67,0.349,0.829,125.01
395,96,0,0.593,0.0381,0.914,128.015
396,97,63,0.703,0.546,0.867,128.008
397,98,63,0.577,0.12,0.576,133.973
398,99,60,0.313,0.287,0.286,80.925
399,100,0,0.832,0.519,0.815,119.995
400,1,79,0.647,0.962,0.822,160.019
401,2,73,0.647,0.353,0.585,131.934
402,3,0,0.737,0.893,0.723,120.003
403,4,69,0.912,0.377,0.716,94.981
404,5,61,0.588,0.487,0.791,94.933
405,6,80,0.418,0.184,0.42,84.094
406,7,79,0.773,0.925,0.758,144.033
407,8,77,0.399,0.572,0.787,117.089
408,9,84,0.422,0.331,0.264,119.93
409,10,78,0.536,0.545,0.768,77.217
410,11,72,0.807,0.961,0.887,134.052
411,12,81,0.72,0.756,0.791,102.071
412,13,77,0.699,0.121,0.529,119.987
413,14,73,0.494,0.441,0.951,160.025
414,15,54,0.646,0.287,0.794,170.216
415,16,61,0.663,0.477,0.705,122.014
416,17,21,0.603,0.72,0.861,127.962
