,Rank,track_popularity,mood_danceability,mood_valence,mood_energy,mood_tempo
835,36,70,0.618,0.526,0.837,121.227
836,37,70,0.687,0.655,0.785,106.046
837,38,75,0.71,0.717,0.789,142.929
838,39,74,0.643,0.579,0.783,154.084
839,40,72,0.675,0.612,0.751,118.384
840,41,82,0.74,0.473,0.613,75.023
841,42,78,0.553,0.443,0.586,126.684
842,43,80,0.8,0.779,0.585,126.058
843,44,67,0.862,0.852,0.583,103.019
844,45,71,0.653,0.216,0.718,82.034
845,46,53,0.813,0.758,0.701,110.009
846,47,72,0.477,0.358,0.61,79.882
847,48,72,0.845,0.811,0.561,109.974
848,49,75,0.75,0.0499,0.404,95.045
849,50,71,0.904,0.188,0.518,137.996
850,51,81,0.921,0.711,0.537,128.009
851,52,73,0.653,0.55,0.809,92.213
852,53,64,0.755,0.642,0.769,114.966
853,54,69,0.735,0.188,0.677,100.584
854,55,75,0.842,0.617,0.801,95.881
855,56,71,0.737,0.374,0.408,127.921
856,57,75,0.835,0.35,0.626,91.03
857,58,78,0.669,0.52,0.308,64.934
858,59,80,0.88,0.333,0.428,100.007
859,60,73,0.851,0.448,0.541,124.959
860,61,70,0.489,0.494,0.581,86.016
861,62,74,0.622,0.487,0.712,140.025
862,63,77,0.75,0.459,0.56,140.06
863,64,67,0.856,0.697,0.632,112.009
864,65,72,0.926,0.485,0.703,125.022
865,66,71,0.6,0.269,0.535,71.912
866,67,81,0.834,0.446,0.73,155.008
867,68,68,0.663,0.454,0.577,89.996
868,69,61,0.655,0.452,0.603,126.088
869,70,71,0.737,0.565,0.636,105.005
870,71,0,0.752,0.582,0.764,121.958
871,72,77,0.585,0.758,0.909,93.372
872,73,55,0.647,0.618,0.853,103.846
873,74,73,0.884,0.342,0.559,97.994
874,75,62,0.623,0.4,0.851,100.063
875,76,70,0.637,0.706,0.864,99.995
876,77,72,0.748,0.659,0.749,90.09
877,78,64,0.845,0.62,0.709,98.062
878,79,61,0.541,0.2,0.787,113.0
879,80,74,0.907,0.395,0.633,145.914
880,81,64,0.703,0.667,0.832,122.029
881,82,71,0.546,0.615,0.822,150.06
882,83,67,0.82,0.535,0.568,152.279
883,84,76,0.673,0.754,0.735,115.744
884,85,79,0.963,0.562,0.346,119.957
885,86,56,0.671,0.454,0.834,113.021
886,87,41,0.931,0.376,0.387,125.978
887,88,72,0.817,0.508,0.816,181.982
888,89,69,0.667,0.422,0.741,149.908
889,90,77,0.912,0.423,0.412,154.983
890,91,76,0.729,0.261,0.625,146.034
891,92,67,0.561,0.235,0.779,81.965
892,93,59,0.725,0.859,0.834,120.026
893,94,56,0.747,0.453,0.641,100.028
894,95,60,0.791,0.603,0.473,95.948
895,96,72,0.417,0.4,0.824,157.92
896,97,70,0.362,0.864,0.882,199.811
897,98,59,0.758,0.127,0.718,115.04
898,99,71,0.645,0.376,0.705,137.133
899,100,79,0.704,0.22,0.611,100.0
900,1,78,0.878,0.639,0.619,136.041
901,2,83,0.701,0.562,0.425,135.128
902,3,78,0.759,0.749,0.548,116.967
903,4,83,0.778,0.327,0.317,140.048
904,5,79,0.755,0.925,0.522,89.96
905,6,77,0.654,0.43,0.63,89.991
906,7,77,0.752,0.533,0.488,136.041
907,8,79,0.794,0.677,0.793,123.941
908,9,82,0.572,0.323,0.385,95.799
909,10,77,0.4,0.702,0.795,190.097
910,11,84,0.501,0.446,0.405,109.891
911,12,78,0.552,0.564,0.702,169.994
912,13,24,0.505,0.0916,0.34,101.993
913,14,73,0.692,0.864,0.809,123.911
914,15,79,0.842,0.952,0.734,137.958
915,16,72,0.77,0.385,0.882,99.991
916,17,2,0.599,0.534,0.733,102.211
917,18,81,0.359,0.453,0.543,68.534
918,19,83,0.658,0.166,0.671,100.966
919,20,80,0.717,0.412,0.653,106.966
920,21,72,0.64,0.546,0.647,92.979
921,22,1,0.505,0.618,0.428,175.813
922,23,34,0.645,0.798,0.862,119.991
923,24,82,0.652,0.483,0.557,150.073
924,25,70,0.442,0.116,0.585,97.565
925,26,73,0.798,0.843,0.676,101.956
926,27,73,0.747,0.65,0.57,133.992
927,28,73,0.477,0.345,0.682,110.567
928,29,76,0.726,0.335,0.554,169.999
929,30,86,0.351,0.12,0.296,115.284
930,31,69,0.59,0.651,0.642,107.356
931,32,84,0.695,0.553,0.762,120.042
932,33,7,0.719,0.628,0.704,133.002
933,34,70,0.599,0.881,0.887,170.918
934,35,77,0.674,0.234,0.881,98.994
935,36,78,0.601,0.244,0.794,114.066
936,37,75,0.771,0.714,0.671,85.026
937,38,75,0.741,0.347,0.52,102.998
938,39,74,0.61,0.291,0.725,146.163
939,40,80,0.579,0.681,0.904,82.014
940,41,65,0.74,0.652,0.498,98.016
941,42,4,0.682,0.607,0.656,130.089
942,43,71,0.9,0.346,0.4,135.984
943,44,1,0.738,0.58,0.861,131.98
944,45,75,0.688,0.162,0.53,106.958
945,46,78,0.745,0.226,0.642,179.974
946,47,78,0.812,0.55,0.496,109.979
947,48,78,0.815,0.877,0.518,151.891
948,49,0,0.631,0.62,0.803,198.065
949,50,72,0.791,0.181,0.565,99.961
950,51,1,0.58,0.175,0.653,150.231
951,52,66,0.722,0.488,0.565,104.483
952,53,71,0.703,0.475,0.594,153.848
953,54,71,0.802,0.376,0.645,100.001
954,55,64,0.46,0.553,0.8,102.46
955,56,70,0.842,0.617,0.801,95.881
956,57,79,0.68,0.341,0.578,145.038
957,58,72,0.682,0.535,0.919,95.982
958,59,57,0.786,0.458,0.658,170.037
959,60,72,0.95,0.219,0.59,130.003
960,61,63,0.716,0.91,0.823,151.957
961,62,78,0.736,0.361,0.308,111.202
962,63,51,0.749,0.715,0.814,119.964
963,64,52,0.685,0.578,0.692,159.966
964,65,67,0.567,0.544,0.696,92.061
965,66,78,0.829,0.388,0.539,99.96
966,67,69,0.53,0.288,0.538,148.051
967,68,68,0.872,0.57,0.814,98.985
968,69,75,0.693,0.404,0.678,103.952
969,70,80,0.367,0.198,0.111,82.642
970,71,66,0.652,0.432,0.453,88.039
971,72,69,0.677,0.355,0.714,94.956
972,73,63,0.715,0.412,0.624,158.087
973,74,70,0.795,0.874,0.496,94.01
974,75,77,0.817,0.158,0.539,97.062
975,76,63,0.746,0.607,0.787,95.005
976,77,73,0.659,0.442,0.625,88.042
977,78,57,0.736,0.387,0.81,125.011
978,79,63,0.744,0.847,0.79,125.002
979,80,75,0.581,0.434,0.662,93.023
980,81,71,0.63,0.163,0.63,80.512
981,82,68,0.863,0.644,0.471,140.969
982,83,66,0.885,0.605,0.762,138.058
983,84,63,0.669,0.576,0.895,124.975
984,85,59,0.585,0.521,0.782,121.908
985,86,71,0.899,0.587,0.811,105.038
986,87,73,0.791,0.536,0.587,96.057
987,88,61,0.531,0.591,0.581,137.776
988,89,78,0.824,0.513,0.588,98.027
989,90,69,0.903,0.727,0.839,133.986
990,91,77,0.772,0.261,0.639,168.112
991,92,80,0.88,0.884,0.751,117.948
992,93,67,0.657,0.399,0.569,102.054
993,94,80,0.554,0.413,0.498,79.635
994,95,75,0.907,0.507,0.53,135.998
995,96,66,0.614,0.258,0.684,156.85
996,97,56,0.836,0.762,0.621,101.993
997,98,81,0.834,0.446,0.73,155.008
998,99,79,0.641,0.523,0.559,144.982
999,100,78,0.737,0.656,0.86,93.989
1000,1,17,0.513,0.345,0.796,171.017
1001,2,88,0.548,0.557,0.816,95.39
1002,3,67,0.73,0.467,0.729,113.012
1003,4,80,0.787,0.779,0.673,110.962
1004,5,10,0.736,0.675,0.802,144.005
1005,6,80,0.896,0.642,0.586,116.971
1006,7,75,0.806,0.874,0.546,147.986
1007,8,74,0.672,0.646,0.855,123.056
1008,9,80,0.746,0.497,0.69,89.977
1009,10,80,0.935,0.357,0.454,133.073
1010,11,82,0.726,0.348,0.431,144.026
1011,12,0,0.746,0.737,0.765,114.044
1012,13,12,0.7,0.756,0.722,90.989
1013,14,48,0.613,0.551,0.581,130.033
1014,15,59,0.785,0.894,0.721,121.962
1015,16,81,0.709,0.543,0.548,83.995
1016,17,73,0.834,0.837,0.454,81.618
1017,18,63,0.826,0.541,0.593,98.083
1018,19,75,0.774,0.349,0.554,99.034
1019,20,56,0.8,0.462,0.658,140.042
1020,21,63,0.625,0.532,0.811,144.994
1021,22,73,0.652,0.549,0.383,145.765
1022,23,72,0.795,0.537,0.574,142.053
1023,24,79,0.794,0.677,0.793,123.941
1024,25,3,0.784,0.236,0.43,127.087
1025,26,82,0.597,0.537,0.45,178.765
1026,27,81,0.731,0.145,0.573,109.928
1027,28,84,0.695,0.553,0.762,120.042
1028,29,68,0.822,0.636,0.743,84.459
1029,30,83,0.667,0.0823,0.373,124.148
1030,31,62,0.705,0.259,0.814,110.0
1031,32,69,0.687,0.494,0.514,145.921
1032,33,81,0.459,0.183,0.575,111.881
1033,34,73,0.591,0.324,0.585,110.94
1034,35,84,0.676,0.569,0.771,99.048
1035,36,1,0.828,0.351,0.782,130.013
1036,37,71,0.728,0.629,0.431,130.022
1037,38,78,0.621,0.457,0.601,116.735
1038,39,80,0.823,0.347,0.586,125.971
1039,40,74,0.8,0.45,0.56,163.071
1040,41,32,0.764,0.575,0.32,91.019
1041,42,75,0.889,0.716,0.34,94.009
1042,43,64,0.712,0.504,0.598,130.007
1043,44,77,0.878,0.694,0.525,112.022
1044,45,81,0.83,0.485,0.585,109.978
1045,46,64,0.781,0.595,0.67,127.99
1046,47,79,0.702,0.915,0.825,102.977
1047,48,76,0.716,0.28,0.537,129.979
1048,49,76,0.904,0.835,0.723,145.013
1049,50,78,0.789,0.664,0.72,122.031
1050,51,81,0.734,0.905,0.874,122.953
1051,52,77,0.767,0.761,0.481,150.076
1052,53,77,0.399,0.151,0.491,91.066
1053,54,80,0.761,0.522,0.518,133.976
1054,55,83,0.808,0.829,0.745,165.995
1055,56,75,0.673,0.372,0.704,86.919
1056,57,78,0.667,0.717,0.719,100.021
1057,58,63,0.862,0.841,0.631,128.978
1058,59,64,0.838,0.631,0.545,114.998
1059,60,1,0.728,0.33,0.685,124.934
1060,61,17,0.591,0.386,0.848,105.922
1061,62,69,0.894,0.428,0.635,105.013
1062,63,77,0.803,0.574,0.715,101.085
1063,64,81,0.704,0.243,0.225,120.006
1064,65,76,0.63,0.452,0.633,93.995
1065,66,84,0.501,0.446,0.405,109.891
1066,67,80,0.88,0.884,0.751,117.948
1067,68,75,0.631,0.0927,0.239,79.859
1068,69,76,0.571,0.393,0.693,168.169
1069,70,77,0.674,0.33,0.774,112.05
1070,71,74,0.647,0.746,0.844,146.967
1071,72,76,0.783,0.558,0.727,180.067
1072,73,78,0.464,0.604,0.473,75.801
1073,74,44,0.723,0.684,0.704,105.095
1074,75,66,0.752,0.784,0.87,120.006
1075,76,0,0.65,0.0804,0.613,149.972
1076,77,79,0.68,0.446,0.729,123.97
1077,78,72,0.79,0.508,0.694,103.007
1078,79,79,0.755,0.925,0.522,89.96
1079,80,64,0.79,0.904,0.729,159.989
1080,81,83,0.701,0.562,0.425,135.128
1081,82,77,0.755,0.581,0.578,94.148
1082,83,72,0.333,0.132,0.637,139.898
1083,84,71,0.776,0.485,0.509,94.634
1084,85,70,0.43,0.731,0.7,158.373
1085,86,70,0.852,0.324,0.698,113.039
1086,87,72,0.654,0.448,0.707,127.97
1087,88,31,0.676,0.796,0.815,117.973
1088,89,84,0.357,0.27,0.425,102.078
1089,90,80,0.607,0.685,0.829,96.172
1090,91,81,0.598,0.0605,0.427,76.469
1091,92,79,0.789,0.753,0.711,112.985
1092,93,75,0.794,0.241,0.32,174.088
1093,94,71,0.444,0.0875,0.309,104.745
1094,95,78,0.759,0.749,0.548,116.967
1095,96,62,0.501,0.152,0.674,155.051
1096,97,75,0.81,0.837,0.511,151.947
1097,98,83,0.841,0.43,0.728,130.049
1098,99,78,0.48,0.269,0.602,179.798
1099,100,78,0.789,0.661,0.742,116.965
1100,1,30,0.556,0.668,0.661,168.56
1101,2,68,0.586,0.719,0.616,148.088
1102,3,86,0.714,0.589,0.8,134.002
1103,4,83,0.762,0.742,0.701,110.968
1104,5,81,0.83,0.485,0.585,109.978
1105,6,82,0.831,0.396,0.554,140.026
1106,7,80,0.61,0.758,0.508,178.818
1107,8,80,0.778,0.472,0.695,149.996
1108,9,38,0.808,0.591,0.897,126.026
1109,10,82,0.653,0.553,0.524,83.97
1110,11,81,0.436,0.412,0.655,121.002
1111,12,91,0.824,0.881,0.764,107.998
1112,13,30,0.585,0.132,0.436,143.874
1113,14,86,0.677,0.464,0.696,90.03
1114,15,90,0.591,0.478,0.764,169.928
1115,16,79,0.702,0.915,0.825,102.977
1116,17,86,0.761,0.531,0.525,80.87
1117,18,10,0.759,0.695,0.459,109.997
1118,19,85,0.65,0.593,0.825,118.091
1119,20,88,0.604,0.13,0.366,141.981
1120,21,88,0.332,0.297,0.225,81.055
1121,22,81,0.449,0.543,0.465,89.087
1122,23,22,0.439,0.172,0.61,181.088
1123,24,74,0.868,0.819,0.795,166.0
1124,25,83,0.78,0.342,0.718,127.949
1125,26,84,0.737,0.682,0.802,144.015
1126,27,83,0.631,0.205,0.518,93.023
1127,28,86,0.588,0.443,0.701,104.988
1128,29,13,0.788,0.822,0.859,141.02
1129,30,83,0.749,0.189,0.463,90.035
1130,31,76,0.686,0.584,0.538,115.884
1131,32,5,0.735,0.897,0.47,87.971
1132,33,79,0.788,0.822,0.859,141.02
1133,34,75,0.655,0.467,0.469,92.56
1134,35,80,0.907,0.202,0.393,104.949
1135,36,80,0.767,0.381,0.438,86.975
1136,37,76,0.823,0.664,0.544,149.903
1137,38,86,0.727,0.533,0.739,93.005
1138,39,77,0.722,0.59,0.588,134.01
1139,40,82,0.731,0.145,0.573,109.928
1140,41,76,0.392,0.529,0.574,81.112
1141,42,84,0.701,0.732,0.716,91.007
1142,43,76,0.863,0.838,0.666,163.908
1143,44,76,0.658,0.29,0.634,139.98
1144,45,72,0.626,0.416,0.79,119.082
1145,46,75,0.719,0.66,0.648,140.201
1146,47,76,0.713,0.682,0.617,168.021
1147,48,76,0.641,0.273,0.324,110.184
1148,49,76,0.965,0.312,0.485,124.025
1149,50,64,0.781,0.595,0.67,127.99
1150,51,89,0.514,0.334,0.73,171.005
1151,52,82,0.856,0.391,0.618,81.993
1152,53,33,0.713,0.721,0.676,99.048
1153,54,75,0.889,0.716,0.34,94.009
1154,55,66,0.698,0.322,0.708,115.036
1155,56,83,0.798,0.235,0.62,120.031
1156,57,77,0.799,0.471,0.66,140.04
1157,58,88,0.548,0.557,0.816,95.39
1158,59,4,0.671,0.518,0.336,75.051
1159,60,64,0.723,0.443,0.646,110.971
1160,61,27,0.584,0.56,0.547,83.917
1161,62,38,0.746,0.737,0.765,114.044
1162,63,81,0.734,0.905,0.874,122.953
1163,64,87,0.68,0.644,0.826,118.051
1164,65,73,0.914,0.469,0.732,94.066
1165,66,76,0.84,0.402,0.766,94.018
1166,67,69,0.88,0.726,0.662,109.988
1167,68,75,0.781,0.0628,0.594,129.895
1168,69,69,0.311,0.286,0.607,188.7
1169,70,70,0.595,0.109,0.543,99.928
1170,71,61,0.538,0.12,0.512,144.978
1171,72,76,0.487,0.173,0.534,131.798
1172,73,77,0.597,0.0753,0.587,140.021
1173,74,7,0.634,0.203,0.285,129.65
1174,75,89,0.644,0.44,0.648,179.951
1175,76,77,0.855,0.866,0.463,102.931
1176,77,72,0.664,0.194,0.609,130.041
1177,78,85,0.828,0.436,0.621,128.986
1178,79,83,0.75,0.958,0.608,132.507
1179,80,36,0.702,0.646,0.741,124.925
1180,81,79,0.797,0.288,0.631,129.915
1181,82,83,0.666,0.292,0.465,167.937
1182,83,88,0.664,0.194,0.609,130.041
1183,84,20,0.587,0.351,0.561,80.009
1184,85,88,0.762,0.442,0.766,130.001
1185,86,91,0.737,0.546,0.846,87.981
1186,87,62,0.523,0.494,0.702,179.992
1187,88,74,0.827,0.607,0.731,118.992
1188,89,57,0.708,0.698,0.598,112.027
1189,90,70,0.39,0.191,0.83,90.021
1190,91,90,0.796,0.942,0.798,116.032
1191,92,83,0.721,0.637,0.738,119.976
1192,93,64,0.692,0.733,0.639,140.059
1193,94,70,0.446,0.267,0.395,71.944
1194,1,96,0.761,0.531,0.525,80.87
1195,2,97,0.813,0.397,0.733,91.988
1196,3,94,0.591,0.478,0.764,169.928
1197,4,92,0.583,0.557,0.834,173.935
1198,5,90,0.728,0.555,0.783,77.011
1199,6,79,0.795,0.934,0.8,116.032
1200,7,100,0.695,0.415,0.54,121.932
1201,8,91,0.741,0.892,0.691,150.087
1202,9,98,0.843,0.899,0.7,93.991
1203,10,92,0.869,0.511,0.694,90.02
1204,11,94,0.601,0.441,0.741,153.96
1205,12,96,0.788,0.822,0.859,141.02
1206,13,96,0.41,0.0899,0.611,185.727
1207,14,97,0.824,0.881,0.764,107.998
1208,15,94,0.87,0.832,0.548,96.018
1209,16,95,0.756,0.956,0.697,94.996
1210,17,91,0.604,0.13,0.366,141.981
1211,18,97,0.737,0.546,0.846,87.981
1212,19,96,0.671,0.262,0.636,120.966
1213,20,96,0.807,0.537,0.893,126.011
1214,21,87,0.762,0.442,0.766,130.001
1215,22,96,0.754,0.464,0.763,117.953
1216,23,96,0.563,0.688,0.664,166.928
1217,24,96,0.345,0.232,0.612,179.773
1218,25,96,0.671,0.494,0.673,121.963
1219,26,86,0.812,0.573,0.855,90.04
1220,27,89,0.573,0.47,0.711,105.006
1221,28,95,0.514,0.334,0.73,171.005
1222,29,96,0.575,0.466,0.648,75.977
1223,30,59,0.442,0.139,0.538,122.758
1224,31,95,0.639,0.138,0.703,169.888
1225,32,94,0.664,0.194,0.609,130.041
1226,33,94,0.612,0.398,0.807,124.053
1227,34,94,0.609,0.454,0.692,116.959
1228,35,95,0.644,0.44,0.648,179.951
1229,36,89,0.764,0.781,0.705,110.97
1230,37,95,0.854,0.637,0.806,124.927
1231,38,83,0.69,0.912,0.626,184.009
1232,39,94,0.38,0.0849,0.339,100.607
1233,40,62,0.426,0.0643,0.225,104.506
1234,41,95,0.577,0.83,0.45,205.863
1235,42,87,0.583,0.336,0.61,114.06
1236,43,90,0.702,0.915,0.825,102.977
1237,44,91,0.954,0.372,0.367,124.026
1238,45,84,0.889,0.588,0.641,87.99
1239,46,92,0.778,0.554,0.571,134.999
1240,47,93,0.561,0.137,0.431,143.875
1241,48,86,0.925,0.771,0.454,135.02
1242,49,92,0.68,0.644,0.826,118.051
1243,50,93,0.575,0.37,0.568,93.986
